country,year,government_health_expenditure,dpt_immunization,measles_immunization,infant_mortality_rate,malaria_prevalence,maternal_mortality_rate,nurses_midwives_density,physicians_density,tb_prevalence,under_5_mortality_rate,undernourished_population,infant_mortality_rate_risk_scaled,under_5_mortality_rate_risk_scaled,maternal_mortality_rate_risk_scaled,malaria_prevalence_risk_scaled,tb_prevalence_risk_scaled,undernourished_population_risk_scaled,health_risk_score,health_risk_level,government_health_expenditure_readiness_scaled,dpt_immunization_readiness_scaled,measles_immunization_readiness_scaled,nurses_midwives_density_readiness_scaled,physicians_density_readiness_scaled,readiness_score,readiness_level,priority_category,priority_rank
Malaysia,2012,666.0,99.0,95.5,6.6,23.5,25.6,3.397,1.281,101.0,9.0,5.0,0.05700712589073634,0.06736842105263158,0.054237288135593226,0.028038553010389287,0.015588096362777516,0.0,3.703991407535466,Low,0.41704260651629066,0.98,0.9296875,0.3571811361200428,0.6435420191765369,66.5490652362574,High,Stable / Resilient,9
Malaysia,2013,581.1,97.0,95.3,6.6,23.5,29.0,3.397,1.281,101.0,9.0,5.0,0.05700712589073634,0.06736842105263158,0.0614406779661017,0.028038553010389287,0.015588096362777516,0.0,3.824047904710607,Low,0.3638471177944862,0.94,0.9265625,0.3571811361200428,0.6435420191765369,64.62265546182132,High,Stable / Resilient,9
Malaysia,2014,458.9,93.0,94.0,6.6,23.5,29.0,3.397,1.281,101.0,9.0,5.0,0.05700712589073634,0.06736842105263158,0.0614406779661017,0.028038553010389287,0.015588096362777516,0.0,3.824047904710607,Low,0.2872807017543859,0.8600000000000001,0.90625,0.3571811361200428,0.6435420191765369,61.08507714101932,High,Stable / Resilient,9
Myanmar,2004,13.7,82.0,78.0,81.0,14.0,250.0,0.731,0.359,647.0,70.8,39.9,0.9406175771971497,0.7178947368421053,0.5296610169491526,0.016147202403304545,0.14454416627302788,0.9999999999999999,55.814411661079,High,0.008333333333333333,0.6400000000000001,0.65625,0.0,0.12351945854483924,28.56205583756345,Low,Emergency Priority,1
Myanmar,2005,7.8,73.0,72.0,46.5,10.8,250.0,0.731,0.372,647.0,70.8,36.9,0.5308788598574822,0.7178947368421053,0.5296610169491526,0.01214169483039179,0.14454416627302788,0.9140401146131806,47.486009822755676,High,0.004636591478696741,0.45999999999999996,0.5625,0.0,0.1308516638465877,23.159765106505688,Low,Emergency Priority,1
Myanmar,2006,8.8,82.0,78.0,46.3,10.5,246.6,0.77,0.407,619.3333333333334,66.2,33.7,0.5285035629453682,0.6694736842105263,0.5224576271186441,0.011766178495431217,0.1380097622421666,0.8223495702005732,44.87600642021183,High,0.005263157894736842,0.6400000000000001,0.65625,0.005225080385852093,0.1505922165820643,29.14660909725307,Low,Emergency Priority,1
Myanmar,2007,8.1,86.0,81.0,46.5,9.0,243.2,0.791,0.43,591.6666666666666,64.3,30.1,0.5308788598574822,0.6494736842105262,0.5152542372881356,0.009888596820628363,0.1314753582113053,0.7191977077363897,42.602807402074454,High,0.004824561403508771,0.72,0.703125,0.008038585209003218,0.16356457980823463,31.99105452841493,Low,Emergency Priority,1
Myanmar,2008,8.9,85.0,82.0,29.5,11.7,239.8,0.812,0.465,564.0,40.7,26.4,0.32897862232779096,0.4010526315789474,0.5080508474576272,0.0132682438352735,0.12494095418044401,0.6131805157593123,33.15786358565659,High,0.005325814536340852,0.7,0.71875,0.010852090032154357,0.18330513254371122,32.36466074224412,Low,Emergency Priority,1
Myanmar,2009,15.1,90.0,87.0,27.2,10.0,236.4,0.843,0.478,544.0,36.5,23.0,0.30166270783847976,0.35684210526315785,0.5008474576271187,0.0111403179371636,0.12021728861596598,0.5157593123209169,30.107819826713378,High,0.009210526315789473,0.8,0.796875,0.015005359056806,0.19063733784545966,36.2345644643611,Low,Emergency Priority,1
Myanmar,2010,27.8,90.0,88.0,27.1,11.7,233.0,0.874,0.511,525.0,34.9,20.2,0.3004750593824228,0.33999999999999997,0.4936440677966102,0.0132682438352735,0.11572980632971186,0.4355300859598854,28.310787721731728,High,0.01716791979949875,0.8,0.8125,0.01915862808145767,0.20924985899605192,37.16152813754017,Low,Emergency Priority,1
Myanmar,2011,35.2,83.5,84.9,27.0,11.7,222.0,0.901,0.539,506.0,33.9,18.0,0.2992874109263658,0.32947368421052625,0.4703389830508475,0.0132682438352735,0.11124232404345774,0.3724928366762178,26.601724712378143,Medium,0.02180451127819549,0.6699999999999999,0.7640625000000001,0.022775991425509123,0.2250423011844332,34.07370607776276,Low,Preventive Priority,3
Myanmar,2012,236.4,85.0,84.0,26.0,8.1,211.0,0.93,0.568,489.0,29.6,16.5,0.2874109263657957,0.28421052631578947,0.4470338983050847,0.008762047815746651,0.1072272083136514,0.32951289398280803,24.4026250183146,Medium,0.14786967418546368,0.7,0.75,0.02666130760986067,0.2413987591652566,37.31859481921162,Low,Preventive Priority,3
Myanmar,2013,219.4,90.0,86.0,24.3,6.8,200.0,0.93,0.568,473.0,29.6,15.5,0.2672209026128266,0.28421052631578947,0.423728813559322,0.007134810364250845,0.10344827586206898,0.30085959885386815,23.110048792802104,Medium,0.13721804511278196,0.8,0.78125,0.02666130760986067,0.2413987591652566,39.73056223775799,Low,Preventive Priority,3
Myanmar,2014,337.4,92.0,88.0,24.3,4.1,200.0,0.93,0.568,457.0,29.6,14.9,0.2672209026128266,0.28421052631578947,0.423728813559322,0.0037551633496057074,0.09966934341048655,0.2836676217765043,22.70420618374224,Medium,0.21115288220551376,0.8400000000000001,0.8125,0.02666130760986067,0.2413987591652566,42.634258979612625,Medium,Moderate Priority,5
Philippines,2004,12.6,87.0,80.0,35.0,56.1,144.0,5.774,1.11,293.0,40.0,18.6,0.39429928741092635,0.39368421052631575,0.3050847457627119,0.06884466140943798,0.06093528578176665,0.38968481375358166,26.875550077412335,High,0.007644110275689221,0.74,0.6875,0.6756430868167204,0.5470953186689228,53.157650315226654,Medium,High Priority,2
Philippines,2005,13.8,87.0,80.0,27.0,56.1,144.0,5.774,1.11,162.2,34.0,17.6,0.2992874109263658,0.33052631578947367,0.3050847457627119,0.06884466140943798,0.030042512990080303,0.3610315186246419,23.246952758378526,Medium,0.008395989974937344,0.74,0.6875,0.6756430868167204,0.5470953186689228,53.17268790921161,Medium,Moderate Priority,5
