country,year,government_health_expenditure,dpt_immunization,measles_immunization,infant_mortality_rate,malaria_prevalence,maternal_mortality_rate,nurses_midwives_density,physicians_density,tb_prevalence,under_5_mortality_rate,undernourished_population,underweight_children
Indonesia,1999,,,,,,,,,,,16.2,22.8
Indonesia,2000,,,,,,,,,,,17.2,24.8
Indonesia,2001,399.6,,,,,,,,,,18.1,23.4
Indonesia,2002,515.5,,,,,,,,,,18.7,23.0
Indonesia,2003,1130.9,,,,,,0.817,0.134,,,18.8,23.1
Indonesia,2004,1107.5,86.5,77.2,33.9,,,,,245.0,,18.7,19.7
Indonesia,2005,597.6,84.6,72.5,28.9,100.0,268.0,,,260.0,45.0,18.8,24.4
Indonesia,2006,165.4,87.1,78.2,30.8,,,,,,,18.8,
Indonesia,2007,99.8,86.4,75.9,,,,,,,,18.5,19.6
Indonesia,2008,,86.1,75.5,,,,,,,,17.7,
Indonesia,2009,,89.1,77.2,,,,0.815,0.145,,,15.9,
Indonesia,2010,1034.1,89.8,77.7,34.0,196.0,169.0,1.062,0.14,,42.0,13.5,18.6
Indonesia,2011,1140.2,89.1,76.9,34.0,,,,,281.0,32.0,11.1,
Indonesia,2012,1310.4,90.0,78.0,27.2,,,1.365,0.201,297.0,40.0,9.3,
Indonesia,2013,1596.4,90.3,77.9,,,190.0,,,,,8.2,19.9
Indonesia,2014,1205.2,90.7,78.7,,39.8,,,,,,7.6,
Indonesia,2015,1737.2,,,,,,,,,,7.6,
Lao PDR,1990,,,,,,,,,,,,
Lao PDR,1991,,,,,,,,,,,42.8,
Lao PDR,1992,,,,,,,,,,,43.6,
Lao PDR,1993,,,,,,,,,,,44.1,39.8
Lao PDR,1994,,,,,,,,,,,44.5,35.9
Lao PDR,1995,,,,,,,1.254,0.341,,,44.1,
Lao PDR,1996,,,,,,,,,,,43.1,
Lao PDR,1997,,,,,,,,,,,41.8,
Lao PDR,1998,,,,,,,,,,,41.1,
Lao PDR,1999,,,,,,,,,,,40.0,
Lao PDR,2000,,,,,,,1.021,0.284,,,39.2,36.4
Lao PDR,2001,,,,,,,,,,,37.9,
Lao PDR,2002,,,,,,,,,,,36.7,
Lao PDR,2003,,,,,,,,,,,34.8,
Lao PDR,2004,,,36.0,86.0,,,0.99,0.353,,,32.2,
Lao PDR,2005,,,69.0,70.0,,405.0,0.996,0.281,,97.6,29.5,
Lao PDR,2006,,,48.0,67.2,,,,,4269.0,93.0,26.9,31.6
Lao PDR,2007,,50.0,40.0,64.4,,,,,,88.6,25.6,
Lao PDR,2008,,50.0,40.0,61.8,,,,,,84.4,24.7,
Lao PDR,2009,,57.0,59.0,59.2,,,0.865,0.197,,80.4,24.2,
Lao PDR,2010,23.1,74.0,78.0,56.6,,280.0,,,,76.4,22.8,
Lao PDR,2011,14.4,78.0,69.0,68.0,,,,,540.0,79.0,21.4,26.5
Lao PDR,2012,15.4,79.0,72.0,51.5,,,0.862,0.179,514.0,68.4,20.1,
Lao PDR,2013,10.1,89.0,82.0,48.9,,220.0,,,,64.3,19.4,
Lao PDR,2014,18.6,,87.0,,,,,,,,18.9,
Lao PDR,2015,25.2,,,,,,,,,,18.5,
Malaysia,1990,,,,,,,,,,,,22.1
Malaysia,1991,,,,,,,,,,,5.1,23.1
Malaysia,1992,,,,,,,,,,,5.0,22.6
Malaysia,1993,,,,,,,,,,,5.0,20.5
Malaysia,1994,,,,,,,,,,,5.0,19.7
Malaysia,1995,,,,,,,,,,,5.0,17.7
Malaysia,1996,,,,,,,,,,,5.0,
Malaysia,1997,,,,,,,,,,,5.0,
