country,year,government_health_expenditure,dpt_immunization,measles_immunization,infant_mortality_rate,malaria_prevalence,maternal_mortality_rate,nurses_midwives_density,physicians_density,tb_prevalence,under_5_mortality_rate,undernourished_population,infant_mortality_rate_risk_scaled,under_5_mortality_rate_risk_scaled,maternal_mortality_rate_risk_scaled,malaria_prevalence_risk_scaled,tb_prevalence_risk_scaled,undernourished_population_risk_scaled,health_risk_score,health_risk_level,government_health_expenditure_readiness_scaled,dpt_immunization_readiness_scaled,measles_immunization_readiness_scaled,nurses_midwives_density_readiness_scaled,physicians_density_readiness_scaled,readiness_score,readiness_level,priority_category,priority_rank
Brunei Darussalam,2004,13.6,91.7,99.0,8.8,34.8,14.4,5.412,1.302,54.0,9.8,5.0,0.08552475716654821,0.0806282722513089,0.030508474576271188,0.0435,0.012649332396345749,0.12531328320802007,6.302068659974902,Low,0.008250424654210142,0.8340000000000001,0.984375,0.5475494209849106,0.5784037558685445,59.051572030153295,High,Stable / Resilient,9
Brunei Darussalam,2005,13.8,99.7,97.4,7.4,34.8,14.4,5.543,1.078,224.0,9.5,5.0,0.06894100923951671,0.0774869109947644,0.030508474576271188,0.0435,0.052471304755211993,0.12531328320802007,6.6370163795630726,Low,0.008371754428536762,0.994,0.9593750000000001,0.5628728506258042,0.47323943661971823,59.95718083348118,High,Stable / Resilient,9
Brunei Darussalam,2006,14.5,100.0,100.0,6.6,34.8,30.4,5.351,1.084,240.0,9.2,5.0,0.05946458185264154,0.07434554973821988,0.06440677966101695,0.0435,0.056219255094869997,0.12531328320802007,7.054157492579473,Low,0.00879640863867993,1.0,1.0,0.5404140835185401,0.47605633802816893,60.50533660370778,High,Stable / Resilient,9
Brunei Darussalam,2007,19.9,99.0,96.8,7.6,34.8,34.2,5.114,1.05,272.0,9.5,5.0,0.07131011608623548,0.0774869109947644,0.07245762711864408,0.0435,0.06371515577418599,0.12531328320802007,7.563051553030832,Low,0.012072312545498664,0.98,0.95,0.5126915428705111,0.460093896713615,58.29715504259249,Medium,Stable but Needs Support,8
Brunei Darussalam,2008,21.2,99.0,97.0,7.0,34.8,0.0,5.097,1.481,286.0,9.5,5.0,0.06420279554607912,0.0774869109947644,0.0,0.0435,0.06699461232138675,0.12531328320802007,6.291626701170838,Low,0.012860956078621692,0.98,0.953125,0.5107030061995556,0.6624413145539906,62.38260553664337,High,Stable / Resilient,9
Brunei Darussalam,2009,20.6,99.0,99.0,7.4,34.8,16.3,5.079,1.15,291.0,8.2,5.0,0.06894100923951671,0.06387434554973821,0.03453389830508475,0.0435,0.06816584680252986,0.12531328320802007,6.738806385081493,Low,0.012496966755641834,0.98,0.984375,0.5085974967832495,0.5070422535211266,59.85023434120036,High,Stable / Resilient,9
Brunei Darussalam,2010,22.0,95.4,94.4,6.1,34.8,15.6,7.391,1.431,311.0,7.2,5.0,0.05354181473584457,0.053403141361256554,0.03305084745762712,0.0435,0.07285078472710237,0.12531328320802007,6.360997858164179,Low,0.01334627517592817,0.9080000000000001,0.9125000000000001,0.7790384840332203,0.6389671361502347,65.03703790718767,High,Stable / Resilient,9
Brunei Darussalam,2011,23.8,97.0,91.0,8.3,34.8,19.4,7.856,1.522,311.0,10.0,5.0,0.07960199004975124,0.08272251308900523,0.041101694915254235,0.0435,0.07285078472710237,0.12531328320802007,7.418171099818887,Low,0.01443824314486775,0.94,0.859375,0.8334308106211252,0.6816901408450703,66.57868389222126,High,Stable / Resilient,9
Brunei Darussalam,2012,20.8,95.4,98.6,9.3,34.8,23.2,8.195,1.47,311.0,10.3,5.0,0.09144752428334518,0.08586387434554975,0.04915254237288135,0.0435,0.07285078472710237,0.12531328320802007,7.802133482281646,Low,0.012618296529968454,0.9080000000000001,0.9781249999999999,0.8730845712948884,0.6572769953051641,68.58209726260041,High,Stable / Resilient,9
Brunei Darussalam,2013,20.8,99.6,96.0,7.6,34.8,27.0,8.195,1.47,311.0,9.7,5.0,0.07131011608623548,0.07958115183246073,0.057203389830508475,0.0435,0.07285078472710237,0.12531328320802007,7.495978761405453,Low,0.012618296529968454,0.992,0.9375,0.8730845712948884,0.6572769953051641,69.44959726260042,High,Stable / Resilient,9
Brunei Darussalam,2014,20.5,99.0,97.0,7.4,34.8,27.0,8.195,1.47,311.0,8.7,5.0,0.06894100923951671,0.06910994764397906,0.057203389830508475,0.0435,0.07285078472710237,0.12531328320802007,7.281973577485445,Low,0.012436301868478524,0.98,0.953125,0.8730845712948884,0.6572769953051641,69.51845736937062,High,Stable / Resilient,9
Brunei Darussalam,2015,19.9,99.98,98.02,7.59,34.8,30.04,8.39,1.47,311.0,8.97,5.0,0.07119166074389954,0.07193717277486912,0.06364406779661017,0.0435,0.07285078472710237,0.12531328320802007,7.473949487508354,Low,0.012072312545498664,0.9996,0.9690624999999999,0.8958942566382034,0.6572769953051641,70.67812128977732,High,Stable / Resilient,9
Brunei Darussalam,2016,19.39,100.0,98.89,7.75,34.8,32.62,8.56,1.47,311.0,9.2,5.0,0.07308694622127458,0.07434554973821988,0.06911016949152542,0.0435,0.07285078472710237,0.12531328320802007,7.63677888976904,Low,0.011762921620965785,1.0,0.98265625,0.91577962334776,0.6572769953051641,71.3495158054778,High,Stable / Resilient,9
Brunei Darussalam,2017,18.96,100.0,99.62,7.89,34.8,34.82,8.7,1.48,311.0,9.39,5.0,0.07474532101397773,0.07633507853403142,0.07377118644067797,0.0435,0.07285078472710237,0.12531328320802007,7.775260898730159,Low,0.011502062606163552,1.0,0.9940625000000001,0.9321558076968066,0.6619718309859154,71.9938440257777,High,Stable / Resilient,9
Brunei Darussalam,2018,18.59,100.0,100.0,8.01,34.8,36.69,8.82,1.48,311.0,9.56,5.0,0.076166785122009,0.0781151832460733,0.07773305084745762,0.0435,0.07285078472710237,0.12531328320802007,7.894651452511038,Low,0.011277602523659305,1.0,1.0,0.9461925371388467,0.6619718309859154,72.38883941296844,High,Stable / Resilient,9
Brunei Darussalam,2019,18.27,100.0,100.0,8.1,34.8,38.27,8.92,1.48,311.0,9.7,5.0,0.07723288320303245,0.07958115183246073,0.08108050847457628,0.0435,0.07285078472710237,0.12531328320802007,7.992643524086531,Low,0.011083474884736714,1.0,1.0,0.9578898116738801,0.6619718309859154,72.61890235089065,High,Stable / Resilient,9
Brunei Darussalam,2020,18.01,100.0,100.0,8.19,34.8,39.62,9.0,1.48,311.0,9.82,5.0,0.07829898128405591,0.08083769633507853,0.08394067796610169,0.0435,0.07285078472710237,0.12531328320802007,8.079023725339308,Low,0.010925746178112108,1.0,1.0,0.9672476313019067,0.6619718309859154,72.80290416931868,High,Stable / Resilient,9
Brunei Darussalam,2021,17.78,100.0,100.0,8.26,34.8,40.77,9.08,1.48,311.0,9.92,5.0,0.07912816868040748,0.0818848167539267,0.0863771186440678,0.0435,0.07285078472710237,0.12531328320802007,8.150902866892073,Medium,0.010786216937636496,1.0,1.0,0.9766054509299333,0.6619718309859154,72.9872699770697,High,Controlled Risk,7
Brunei Darussalam,2022,17.59,100.0,100.0,8.32,34.8,41.74,9.14,1.48,311.0,10.01,5.0,0.07983890073442312,0.08282722513089005,0.08843220338983052,0.0435,0.07285078472710237,0.12531328320802007,8.21270661983777,Medium,0.010670953652026206,1.0,1.0,0.9836238156509534,0.6619718309859154,73.12533200577789,High,Controlled Risk,7
Brunei Darussalam,2023,17.43,100.0,100.0,8.37,34.8,42.57,9.19,1.48,311.0,10.08,5.0,0.0804311774461028,0.08356020942408378,0.0901906779661017,0.0435,0.07285078472710237,0.12531328320802007,8.264102212856844,Medium,0.01057388983256491,1.0,1.0,0.98947245291847,0.6619718309859154,73.24036347473901,High,Controlled Risk,7
Brunei Darussalam,2024,17.29,100.0,100.0,8.42,34.8,43.28,9.24,1.48,311.0,10.15,5.0,0.08102345415778252,0.08429319371727749,0.09169491525423729,0.0435,0.07285078472710237,0.12531328320802007,8.311260517740328,Medium,0.010488958990536276,1.0,1.0,0.9953210901859868,0.6619718309859154,73.35563760324877,High,Controlled Risk,7
Brunei Darussalam,2025,17.17,100.0,100.0,8.45,34.8,43.88,9.28,1.48,311.0,10.2,5.0,0.08137882018479033,0.08481675392670157,0.09296610169491526,0.0435,0.07285078472710237,0.12531328320802007,8.347095729025494,Medium,0.010416161125940305,1.0,1.0,1.0,0.6619718309859154,73.44775984223712,High,Controlled Risk,7
Cambodia,2004,0.9,82.0,80.0,76.0,800.0,472.0,0.842,0.244,510.0,83.0,22.1,0.8815446576640606,0.8471204188481676,1.0,1.0,0.11946591707659873,0.5538847117794488,73.36692842280459,High,0.0005459839844697889,0.6400000000000001,0.6875,0.012983974733887002,0.08169014084507041,28.45440199126854,Low,Emergency Priority,1
Cambodia,2005,0.4,82.0,76.9,66.0,600.0,472.0,0.842,0.244,676.0,83.0,20.8,0.7630893153281213,0.8471204188481676,1.0,0.75,0.15835090185055048,0.5213032581453635,67.33106490287005,High,0.00024265954865323948,0.6400000000000001,0.6390625000000001,0.012983974733887002,0.08169014084507041,27.47958550255221,Low,Emergency Priority,1
